사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021021600100483,2021년 2월 16일 21시,화요일,서울특별시 강서구 화곡동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,60세,상해없음,보행자,여,36세,경상
2021021700100192,2021년 2월 17일 12시,수요일,서울특별시 강서구 공항동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,기타 - 기타,기타불명,기타불명,미분류,기타불명,승용,남,74세,경상
2021021700100445,2021년 2월 17일 19시,수요일,서울특별시 강서구 화곡동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,25세,상해없음,승용,남,59세,경상
2021021800100135,2021년 2월 18일 11시,목요일,서울특별시 강서구 화곡동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,건설기계,남,58세,상해없음,승용,여,39세,경상
2021021800100308,2021년 2월 18일 16시,목요일,서울특별시 강서구 등촌동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,53세,상해없음,승용,남,40세,경상
2021021900100102,2021년 2월 19일 09시,금요일,서울특별시 강서구 가양동,경상사고,0,0,2,1,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,69세,상해없음,승용,남,58세,경상
2021021900100480,2021년 2월 19일 18시,금요일,서울특별시 강서구 화곡동,중상사고,0,1,0,0,차대차 - 측면충돌,중앙선침범,포장 - 건조,맑음,기타 - 기타,승용,남,39세,기타불명,승용,남,30세,중상
2021021900100539,2021년 2월 19일 19시,금요일,서울특별시 강서구 화곡동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,56세,상해없음,승용,남,53세,경상
2021021900100540,2021년 2월 19일 19시,금요일,서울특별시 강서구 내발산동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,38세,상해없음,승용,남,45세,경상
2021021900100590,2021년 2월 19일 20시,금요일,서울특별시 강서구 방화동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,원동기,남,26세,경상,승용,남,42세,상해없음
2021021900100629,2021년 2월 19일 21시,금요일,서울특별시 강서구 내발산동,중상사고,0,1,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,원동기,남,17세,중상,승용,여,45세,경상
2021021900100630,2021년 2월 19일 21시,금요일,서울특별시 강서구 마곡동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,38세,상해없음,승용,남,27세,경상
2021021900100671,2021년 2월 19일 22시,금요일,서울특별시 강서구 마곡동,중상사고,0,1,2,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,25세,경상,승합,남,48세,상해없음
2021022000100041,2021년 2월 20일 05시,토요일,서울특별시 강서구 내발산동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,48세,상해없음,화물,남,51세,경상
2021022000100128,2021년 2월 20일 11시,토요일,서울특별시 강서구 외발산동,경상사고,0,0,2,0,차대차 - 정면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,여,34세,경상,승용,남,72세,경상
2021022000100275,2021년 2월 20일 15시,토요일,서울특별시 강서구 방화동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,32세,상해없음,원동기,남,43세,경상
2021022000100313,2021년 2월 20일 16시,토요일,서울특별시 강서구 화곡동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,74세,상해없음,보행자,여,69세,중상
2021022000100314,2021년 2월 20일 16시,토요일,서울특별시 강서구 개화동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,28세,상해없음,승용,여,48세,경상
2021022000100348,2021년 2월 20일 17시,토요일,서울특별시 강서구 염창동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,61세,상해없음,승용,남,32세,경상
2021022000100386,2021년 2월 20일 18시,토요일,서울특별시 강서구 화곡동,중상사고,0,1,0,0,차량단독 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,50세,상해없음,,,,
2021022000100424,2021년 2월 20일 19시,토요일,서울특별시 강서구 등촌동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,58세,상해없음,승용,남,28세,경상
2021022000100505,2021년 2월 20일 22시,토요일,서울특별시 강서구 마곡동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,45세,상해없음,자전거,남,29세,경상
2021022100100018,2021년 2월 21일 02시,일요일,서울특별시 강서구 오쇠동,중상사고,0,3,0,0,차량단독 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,남,30세,중상,,,,
2021022100100057,2021년 2월 21일 09시,일요일,서울특별시 강서구 화곡동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,59세,상해없음,자전거,남,59세,중상
2021022100100073,2021년 2월 21일 10시,일요일,서울특별시 강서구 화곡동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,66세,상해없음,보행자,여,63세,경상
2021022100100266,2021년 2월 21일 17시,일요일,서울특별시 강서구 화곡동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 기타,맑음,교차로 - 교차로안,승용,남,62세,상해없음,이륜,남,20세,경상
2021022200100275,2021년 2월 22일 14시,월요일,서울특별시 강서구 화곡동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,화물,남,74세,상해없음,개인형이동수단(PM),남,34세,경상
2021022200100349,2021년 2월 22일 16시,월요일,서울특별시 강서구 화곡동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,47세,상해없음,승용,남,50세,경상
2021022300100154,2021년 2월 23일 11시,화요일,서울특별시 강서구 화곡동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승합,남,55세,상해없음,승용,남,66세,경상
2021022300100291,2021년 2월 23일 15시,화요일,서울특별시 강서구 염창동,중상사고,0,1,0,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,59세,상해없음,이륜,남,64세,중상
2021022400100256,2021년 2월 24일 15시,수요일,서울특별시 강서구 방화동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,11세,경상,이륜,남,51세,상해없음
2021022400100351,2021년 2월 24일 18시,수요일,서울특별시 강서구 등촌동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,47세,상해없음,승용,남,34세,경상
2021022500100494,2021년 2월 25일 22시,목요일,서울특별시 강서구 화곡동,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,단일로 - 기타,이륜,남,24세,상해없음,이륜,남,23세,중상
2021022600100040,2021년 2월 26일 06시,금요일,서울특별시 강서구 화곡동,경상사고,0,0,2,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,56세,상해없음,승합,남,71세,경상
2021022600100223,2021년 2월 26일 13시,금요일,서울특별시 강서구 내발산동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,28세,상해없음,보행자,남,47세,중상
2021022700100077,2021년 2월 27일 09시,토요일,서울특별시 강서구 화곡동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로부근,이륜,남,26세,기타불명,승용,남,39세,경상
2021022700100095,2021년 2월 27일 10시,토요일,서울특별시 강서구 화곡동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,29세,기타불명,승용,남,51세,경상
2021022700100314,2021년 2월 27일 16시,토요일,서울특별시 강서구 방화동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,59세,경상,자전거,남,15세,경상
2021022700100390,2021년 2월 27일 18시,토요일,서울특별시 강서구 개화동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,흐림,단일로 - 지하차도(도로)내,승용,남,46세,상해없음,승용,남,25세,경상
2021022700100415,2021년 2월 27일 19시,토요일,서울특별시 강서구 마곡동,경상사고,0,0,3,0,차대사람 - 보도통행중,기타,포장 - 건조,맑음,단일로 - 기타,원동기,남,17세,경상,보행자,여,24세,경상
2021022700100488,2021년 2월 27일 21시,토요일,서울특별시 강서구 등촌동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,54세,상해없음,승용,남,31세,경상
2021022700100489,2021년 2월 27일 21시,토요일,서울특별시 강서구 화곡동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,보행자,남,40세,경상
2021022800100266,2021년 2월 28일 18시,일요일,서울특별시 강서구 내발산동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,이륜,남,49세,상해없음,개인형이동수단(PM),남,20세,경상
2021030100100256,2021년 3월 1일 18시,월요일,서울특별시 강서구 염창동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,포장 - 젖음/습기,비,교차로 - 교차로부근,승용,남,33세,기타불명,승용,남,40세,경상
2021030100100313,2021년 3월 1일 19시,월요일,서울특별시 강서구 개화동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,승용,남,43세,상해없음,승용,남,32세,중상
2021030100100359,2021년 3월 1일 20시,월요일,서울특별시 강서구 방화동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 젖음/습기,비,기타 - 기타,이륜,남,39세,상해없음,보행자,남,70세,중상
2021030100100388,2021년 3월 1일 21시,월요일,서울특별시 강서구 내발산동,경상사고,0,0,3,0,차대차 - 기타,안전운전불이행,포장 - 젖음/습기,비,교차로 - 교차로안,승용,남,26세,상해없음,승용,여,72세,경상
2021030200100331,2021년 3월 2일 17시,화요일,서울특별시 강서구 화곡동,경상사고,0,0,1,0,차대차 - 측면충돌,직진우회전진행방해,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,51세,경상,화물,남,50세,상해없음
2021030200100416,2021년 3월 2일 19시,화요일,서울특별시 강서구 화곡동,경상사고,0,0,1,0,차대차 - 후진중충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,33세,상해없음,이륜,남,27세,경상
2021030200100417,2021년 3월 2일 19시,화요일,서울특별시 강서구 마곡동,경상사고,0,0,1,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,55세,경상,승합,남,33세,상해없음
2021030200100453,2021년 3월 2일 20시,화요일,서울특별시 강서구 가양동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,72세,상해없음,승용,남,49세,중상
2021030200100496,2021년 3월 2일 22시,화요일,서울특별시 강서구 등촌동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,남,58세,상해없음,보행자,남,60세,중상
2021030300100331,2021년 3월 3일 16시,수요일,서울특별시 강서구 화곡동,경상사고,0,0,3,0,차량단독 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승합,남,34세,상해없음,,,,
2021030300100332,2021년 3월 3일 16시,수요일,서울특별시 강서구 화곡동,경상사고,0,0,1,0,차대차 - 기타,신호위반,포장 - 건조,맑음,단일로 - 기타,승용,남,78세,상해없음,승용,남,37세,경상
2021030300100446,2021년 3월 3일 20시,수요일,서울특별시 강서구 방화동,중상사고,0,1,0,0,차대차 - 기타,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,53세,상해없음,승용,남,28세,중상
2021030300100501,2021년 3월 3일 22시,수요일,서울특별시 강서구 내발산동,중상사고,0,1,0,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,44세,상해없음,승용,남,31세,중상
2021030500100305,2021년 3월 5일 15시,금요일,서울특별시 강서구 화곡동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,68세,상해없음,보행자,여,30세,경상
2021030500100306,2021년 3월 5일 15시,금요일,서울특별시 강서구 염창동,경상사고,0,0,1,0,차대차 - 기타,차로위반,포장 - 건조,맑음,단일로 - 기타,승용,남,51세,상해없음,이륜,남,38세,경상
2021030500100536,2021년 3월 5일 21시,금요일,서울특별시 강서구 화곡동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,기타,기타 - 기타,자전거,여,28세,경상,승용,여,70세,상해없음
2021030500100566,2021년 3월 5일 22시,금요일,서울특별시 강서구 화곡동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,24세,상해없음,보행자,남,54세,경상
2021030500100567,2021년 3월 5일 22시,금요일,서울특별시 강서구 마곡동,경상사고,0,0,2,0,차대차 - 정면충돌,중앙선침범,포장 - 건조,맑음,단일로 - 기타,승용,남,40세,상해없음,승용,남,32세,경상
2021030600100025,2021년 3월 6일 02시,토요일,서울특별시 강서구 등촌동,중상사고,0,1,1,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,66세,상해없음,승용,남,45세,중상
2021030600100026,2021년 3월 6일 02시,토요일,서울특별시 강서구 화곡동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,22세,상해없음,승용,남,69세,경상
2021030600100381,2021년 3월 6일 19시,토요일,서울특별시 강서구 화곡동,경상사고,0,0,1,0,차대사람 - 횡단중,중앙선침범,포장 - 건조,흐림,단일로 - 기타,화물,남,60세,상해없음,보행자,여,61세,경상
2021030600100428,2021년 3월 6일 21시,토요일,서울특별시 강서구 화곡동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,29세,상해없음,화물,남,50세,상해없음
2021030700100339,2021년 3월 7일 21시,일요일,서울특별시 강서구 마곡동,경상사고,0,0,1,0,차대차 - 기타,중앙선침범,포장 - 건조,맑음,단일로 - 기타,승용,남,48세,상해없음,개인형이동수단(PM),남,36세,경상
2021030700100340,2021년 3월 7일 21시,일요일,서울특별시 강서구 화곡동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,33세,상해없음,승용,남,28세,경상
2021030800100390,2021년 3월 8일 17시,월요일,서울특별시 강서구 등촌동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,39세,상해없음,이륜,남,25세,경상
2021030800100429,2021년 3월 8일 18시,월요일,서울특별시 강서구 화곡동,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,39세,상해없음,자전거,남,29세,중상
2021030800100468,2021년 3월 8일 19시,월요일,서울특별시 강서구 화곡동,경상사고,0,0,1,0,차량단독 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,53세,기타불명,,,,
2021030900100018,2021년 3월 9일 04시,화요일,서울특별시 강서구 화곡동,중상사고,0,1,1,1,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,여,52세,상해없음,승용,여,27세,중상
